"ID","Q_comp_1","Q_comp_2","Q_comp_3","Q_comp_4","Q_comp_5","Q_comp_6","Q_comp_7","Q_comp_8","Q_comp_9","Q_comp_10","Q_comp_11","Q_comp_12","Compassion","Q_suff_1","Q_suff_2","Q_suff_3","Q_cons_1","Q_cons_2","Q_cons_3","Q_cons_4","Q_cons_5","Q_cons_6","Q_cons_7","Q_cons_8","Gender","University","Country","Year","Experience"
"923324-511967",4,4,5,4,1,4,4,4,1,1,4,4,40,1,3,1,3,3,3,3,2,1,0,1,"Male","ZJE","China",1,1
"943366-747200",4,2,5,5,1,5,4,1,2,2,4,4,39,2,3,2,3,3,3,3,3,2,1,-1,"Prefer not to say","ZJE","China",1,3
"357525-941204",4,4,4,0,0,4,2,4,2,2,5,4,35,2,3,2,3,3,2,2,3,2,2,2,"Female","UoE","UK",1,1
"847402-329885",4,4,5,4,1,4,4,3,1,2,5,4,41,2,1,0,3,3,3,3,2,2,1,2,"Prefer not to say","ZJE","China",1,1
"677570-516063",4,2,5,4,1,4,4,5,2,2,0,5,38,2,1,2,3,3,3,3,1,2,1,-1,"Male","ZJE","China",1,1
"567185-946012",4,4,5,0,5,5,4,5,1,2,4,5,44,3,3,1,3,0,3,3,1,2,2,2,"Male","ZJE","China",1,1
"762928-980402",4,4,3,4,1,5,2,3,2,5,5,2,40,2,2,0,3,2,3,3,1,2,3,-1,"Male","ZJE","China",1,1
"221199-205738",4,5,5,4,1,4,4,3,5,2,4,3,44,2,3,0,2,2,3,3,1,2,1,1,"Prefer not to say","UoE","UK",1,1
"691292-527496",5,5,5,4,1,5,2,5,5,2,5,2,46,2,1,0,2,2,3,3,2,2,1,-1,"Male","UoE","UK",2,1
"734557-604298",4,2,4,4,1,3,4,3,1,2,5,3,36,3,3,1,2,2,3,3,1,2,2,-1,"Male","UoE","UK",2,1
